Division,Position,Number,Player Name,Status,Quick Stats,yard gain,type,other,stat,thing1,thing,thing3,team,,,
AFC North,DB,41,"Henderson, Trayvon",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,RB,89,"Hewitt, Ryan",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,RB,23,"Hill, Brian",ACT,CAR,11,YDS,37,AVG,3.4,TDS,0,CIN,,,
AFC North,OG,66,"Hopkins, Trey",ACT,G,13,GS,12,,,,,CIN,,,
AFC North,DE,94,"Hubbard, Sam",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,P,10,"Huber, Kevin",ACT,PUNTS,88,AVG,46.6,LNG,63,IN 20,32,CIN,,,
AFC North,DB,43,"Iloka, George",ACT,TCKL,80,SCK,0,FF,0,INT,1,CIN,,,
AFC North,CB,22,"Jackson, William",ACT,TCKL,27,SCK,1,FF,0,INT,1,CIN,,,
AFC North,LB,45,"Jefferson, Malik",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,C,60,"Johnson, T.J.",ACT,G,13,GS,4,,,,,CIN,,,
AFC North,DE,90,"Johnson, Michael",ACT,TCKL,49,SCK,5,FF,0,INT,--,CIN,,,
AFC North,LB,48,"Joseph, Junior",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,DB,27,"Kirkpatrick, Dre",ACT,TCKL,55,SCK,1,FF,1,INT,1,CIN,,,
AFC North,TE,81,"Kroft, Tyler",ACT,REC,42,YDS,404,AVG,9.6,TDS,7,CIN,,,
AFC North,DE,58,"Lawson, Carl",ACT,TCKL,16,SCK,8.5,FF,0,INT,--,CIN,,,
AFC North,C,61,"Lundblade, Brad",ACT,G,--,GS,--,,,,,CIN,,,
AFC North,WR,80,"Malone, Josh",ACT,REC,6,YDS,63,AVG,10.5,TDS,1,CIN,,,
AFC North,CB,29,"McRae, Tony",ACT,TCKL,5,SCK,0,FF,0,INT,0,CIN,,,
AFC North,RB,28,"Mixon, Joe",ACT,CAR,178,YDS,626,AVG,3.5,TDS,4,CIN,,,
AFC North,WR,9,"Murphy, Jared",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,OT,72,"Murray, Justin",ACT,G,0,GS,0,,,,,CIN,,,
AFC North,LB,56,"Nickerson, Hardy",ACT,TCKL,18,SCK,0,FF,0,INT,--,CIN,,,
AFC North,OT,70,"Ogbuehi, Cedric",ACT,G,14,GS,13,,,,,CIN,,,
AFC North,DT,67,"Okoye, Chris",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,OT,76,"Perkins, Kent",ACT,G,1,GS,0,,,,,CIN,,,
AFC North,CB,38,"Phillips, Darius",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,C,53,"Price, Billy",ACT,G,--,GS,--,,,,,CIN,,,
AFC North,OG,62,"Redmond, Alex",ACT,G,5,GS,0,,,,,CIN,,,
AFC North,LB,57,"Rey, Vincent",ACT,TCKL,85,SCK,0,FF,0,INT,1,CIN,,,
AFC North,DT,,"Robinson, Simeyon",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,WR,15,"Ross, John",ACT,REC,0,YDS,0,AVG,--,TDS,0,CIN,,,
AFC North,WR,11,"Ross, Kayaune",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,CB,20,"Russell, KeiVarae",ACT,TCKL,9,SCK,0,FF,0,INT,--,CIN,,,
AFC North,TE,86,"Schreck, Mason",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,CB,26,"Shaw, Josh",ACT,TCKL,36,SCK,0,FF,0,INT,--,CIN,,,
AFC North,CB,31,"Shelton, Sojourn",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,WR,19,"Tate, Auden",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,OG,64,"Taylor, Rod",RES,G,--,GS,--,,,,,CIN,,,
AFC North,DT,91,"Tupou, Josh",ACT,TCKL,0,SCK,--,FF,--,INT,--,CIN,,,
AFC North,TE,87,"Uzomah, C.J.",ACT,REC,10,YDS,92,AVG,9.2,TDS,1,CIN,,,
AFC North,LB,59,"Vigil, Nick",ACT,TCKL,79,SCK,1,FF,0,INT,1,CIN,,,
AFC North,RB,32,"Walton, Mark",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,OG,63,"Westerman, Christian",ACT,G,2,GS,2,,,,,CIN,,,
AFC North,WR,13,"White, Ka'Raun",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,WR,17,"Whitfield, Kermit",ACT,REC,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,RB,39,"Williams, Jarveon",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CIN,,,
AFC North,DB,36,"Williams, Shawn",ACT,TCKL,49,SCK,0,FF,0,INT,1,CIN,,,
AFC North,DE,75,"Willis, Jordan",ACT,TCKL,25,SCK,1,FF,0,INT,--,CIN,,,
AFC North,DB,40,"Wilson, Brandon",ACT,TCKL,5,SCK,0,FF,0,INT,--,CIN,,,
AFC North,DT,95,"Wilson, Eddy",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,QB,5,"Woodside, Logan",ACT,TDS,--,INT,--,YDS,--,RTG,--,CIN,,,
AFC North,LB,47,"Worley, Chris",ACT,TCKL,--,SCK,--,FF,--,INT,--,CIN,,,
AFC North,TE,86,"Allen, Julian",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,LB,55,"Avery, Genard",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,LB,56,"Bello, B.J.",ACT,TCKL,6,SCK,0,FF,0,INT,--,CLE,,,
AFC North,WR,89,"Berry, Evan",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,OT,75,"Bitonio, Joel",ACT,G,16,GS,16,,,,,CLE,,,
AFC North,WR,16,"Board, C.J.",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,CB,20,"Boddy-Calhoun, Briean",ACT,TCKL,39,SCK,0,FF,0,INT,--,CLE,,,
AFC North,DB,40,"Boutte, Christian",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,OT,72,"Bowen, Kevin",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,DT,99,"Brantley, Caleb",ACT,TCKL,18,SCK,2,FF,0,INT,--,CLE,,,
AFC North,LB,52,"Burgess, James",ACT,TCKL,75,SCK,4,FF,1,INT,--,CLE,,,
AFC North,TE,83,"Cajuste, Devon",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,WR,11,"Callaway, Antonio",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,DB,43,"Campbell, Elijah",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,DB,38,"Carrie, T.J.",ACT,TCKL,84,SCK,0,FF,0,INT,--,CLE,,,
AFC North,TE,82,"Charles, Orson",ACT,REC,2,YDS,53,AVG,26.5,TDS,0,CLE,,,
AFC North,RB,31,"Chubb, Nick",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,OT,72,"Coleman, Shon",ACT,G,16,GS,16,,,,,CLE,,,
AFC North,DT,93,"Coley, Trevon",ACT,TCKL,41,SCK,2,FF,0,INT,--,CLE,,,
AFC North,LB,51,"Collins, Jamie",ACT,TCKL,31,SCK,1,FF,1,INT,1,CLE,,,
AFC North,P,4,"Colquitt, Britton",ACT,PUNTS,80,AVG,47.6,LNG,67,IN 20,24,CLE,,,
AFC North,OG,63,"Corbett, Austin",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,LB,42,"Currie, Justin",ACT,TCKL,7,SCK,1,FF,0,INT,--,CLE,,,
AFC North,RB,27,"Dayes, Matt",ACT,CAR,5,YDS,13,AVG,2.6,TDS,0,CLE,,,
AFC North,TE,87,"DeValve, Seth",ACT,REC,33,YDS,395,AVG,12,TDS,1,CLE,,,
AFC North,OT,61,"DiLauro, Christian",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,OG,66,"Drango, Spencer",ACT,G,16,GS,10,,,,,CLE,,,
AFC North,DT,96,"Ekuale, Daniel",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,C,59,"Fabiano, Anthony",ACT,G,5,GS,1,,,,,CLE,,,
AFC North,DT,97,"Faulk, Jeremy",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,TE,88,"Fells, Darren",ACT,REC,17,YDS,177,AVG,10.4,TDS,3,CLE,,,
AFC North,DE,57,"Frazier, Marcell",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,DB,28,"Gaines, E.J.",ACT,TCKL,59,SCK,0,FF,3,INT,1,CLE,,,
AFC North,DE,95,"Garrett, Myles",ACT,TCKL,31,SCK,7,FF,1,INT,--,CLE,,,
AFC North,OT,67,"Gennesy, Avery",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,K,5,"Gonzalez, Zane",ACT,FGA,20,FGM,15,PCT,75,LNG,54,CLE,,,
AFC North,LB,48,"Grace, Jermaine",ACT,TCKL,3,SCK,0,FF,0,INT,0,CLE,,,
AFC North,OL,79,"Gray, Geoff",ACT,G,0,GS,0,,,,,CLE,,,
AFC North,DB,35,"Hannemann, Micah",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,OT,69,"Harrison, Desmond",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,DT,71,"Henderson, Zay",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,WR,81,"Higgins, Rashard",ACT,REC,27,YDS,312,AVG,11.6,TDS,2,CLE,,,
AFC North,RB,25,"Hilliard, Dontrell",ACT,CAR,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,OG,74,"Hubbard, Chris",ACT,G,16,GS,10,,,,,CLE,,,
AFC North,LS,47,"Hughlett, Charley",ACT,G,16,GS,0,,,,,CLE,,,
AFC North,RB,34,"Hyde, Carlos",ACT,CAR,240,YDS,938,AVG,3.9,TDS,8,CLE,,,
AFC North,WR,82,"Jackson, Blake",ACT,REC,--,YDS,--,AVG,--,TDS,--,CLE,,,
AFC North,WR,13,"Janis, Jeff",ACT,REC,2,YDS,12,AVG,6,TDS,0,CLE,,,
AFC North,RB,29,"Johnson, Duke",ACT,CAR,82,YDS,348,AVG,4.2,TDS,4,CLE,,,
AFC North,DE,91,"Jones, Lenny",ACT,TCKL,--,SCK,--,FF,--,INT,--,CLE,,,
AFC North,CB,41,"Jordan, Michael",ACT,TCKL,20,SCK,0,FF,0,INT,--,CLE,,,
AFC North,LB,54,"Kendricks, Mychal",ACT,TCKL,77,SCK,2,FF,0,INT,--,CLE,,,
AFC North,DB,26,"Kindred, Derrick",ACT,TCKL,57,SCK,0,FF,0,INT,1,CLE,,,
AFC North,LB,58,"Kirksey, Christian",ACT,TCKL,138,SCK,3.5,FF,2,INT,--,CLE,,,
AFC North,WR,80,"Landry, Jarvis",ACT,REC,112,YDS,987,AVG,8.8,TDS,9,CLE,,,
AFC North,OG,60,"Lauina, Fred",ACT,G,--,GS,--,,,,,CLE,,,
AFC North,WR,15,"Louis, Ricardo",RES,REC,27,YDS,357,AVG,13.2,TDS,0,CLE,,,
AFC North,K,7,"Martin, Ross",ACT,FGA,--,FGM,--,PCT,--,LNG,--,CLE,,,
